candle_begin_time,open,high,low,close,volume
2017-01-01 17:45:00,996.49,996.97,994.17,994.38,63.91930875999998
2017-01-01 17:50:00,995.0,995.32,987.18,991.41,190.78810665999998
2017-01-01 17:55:00,991.95,994.31,991.95,992.95,50.24331147000001
2017-01-01 18:00:00,993.75,997.0,993.68,996.85,64.97864460000001
2017-01-01 18:05:00,995.57,998.5,995.05,996.86,120.33154340999997
2017-01-01 18:10:00,996.67,997.72,996.02,996.99,27.15182778999999
2017-01-01 18:15:00,996.93,996.93,993.81,996.28,53.02459706999999
2017-01-01 18:20:00,996.29,996.88,996.29,996.84,32.59074411
2017-01-01 18:25:00,996.85,998.99,996.85,998.96,139.19309332999995
2017-01-01 18:30:00,998.95,1005.0,998.93,1002.5,457.53732530999974
2017-01-01 18:35:00,1003.0,1003.4,1001.0,1002.0,79.20676843
2017-01-01 18:40:00,1002.7,1002.7,1001.1,1001.2,51.55212010000002
2017-01-01 18:45:00,1001.2,1001.9,1000.2,1000.2,7.257544019999999
2017-01-01 18:50:00,1000.2,1000.8,999.02,1000.5,66.08487166
2017-01-01 18:55:00,999.02,999.99,998.0,999.0,67.16864596
2017-01-01 19:00:00,998.91,999.99,998.0,998.91,25.14304171
2017-01-01 19:05:00,998.76,998.8,997.01,998.47,33.30655271
2017-01-01 19:10:00,998.6,998.97,995.22,995.23,63.05865021999999
2017-01-01 19:15:00,995.84,1001.3,995.25,1001.2,229.98188727000013
2017-01-01 19:20:00,1001.0,1001.0,998.99,999.01,11.708702189999999
2017-01-01 19:25:00,999.01,999.01,996.98,997.73,23.56604814
2017-01-01 19:30:00,998.0,999.08,998.0,999.08,21.10558964
2017-01-01 19:35:00,999.09,1001.6,999.09,1001.0,55.29590149
2017-01-01 19:40:00,999.79,1000.0,999.79,999.8,7.885
2017-01-01 19:45:00,999.96,1000.5,999.6,1000.5,3.43649801
2017-01-01 19:50:00,999.51,1000.1,999.51,999.97,2.0165037
2017-01-01 19:55:00,999.87,1000.0,999.52,999.52,7.51178582
2017-01-01 20:00:00,999.5,1001.9,999.5,1001.9,114.19517116000004
2017-01-01 20:05:00,1001.5,1002.5,1001.5,1001.5,26.074379809999996
2017-01-01 20:10:00,1001.6,1002.5,1000.5,1002.5,36.531024120000005
2017-01-01 20:15:00,1002.5,1002.5,1001.8,1002.5,20.42422154
2017-01-01 20:20:00,1002.3,1002.4,1002.1,1002.3,14.61062915
2017-01-01 20:25:00,1002.4,1004.9,1002.3,1004.9,109.98906387000021
2017-01-01 20:30:00,1004.9,1005.0,1003.4,1004.5,81.89460317999998
2017-01-01 20:35:00,1004.9,1005.0,1004.0,1004.0,36.246379590000004
2017-01-01 20:40:00,1002.6,1004.0,999.5,1001.2,84.19853475000001
2017-01-01 20:45:00,1003.1,1003.1,1001.2,1002.8,10.781312439999999
2017-01-01 20:50:00,1002.8,1004.8,1002.6,1004.7,117.29861554000001
2017-01-01 20:55:00,1004.8,1004.8,1004.0,1004.0,37.217896150000016
2017-01-01 21:00:00,1004.8,1006.5,1004.4,1006.4,89.83862606999999
2017-01-01 21:05:00,1005.1,1005.5,1005.0,1005.0,56.69891418999999
